Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB,Prelabel_Multi_A
142,6,10.1.1.2,2550164764,3.29191,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,172194.602,0.0,88163636.05,0,0,0,1,2,0,1,2
149,6,10.1.1.1,595229600,3.349843,0,100,0,0,0,0,0,2,8,90,16,16,0,1409,0.0,16602.193,0.0,23407763.35,0,0,0,1,1,0,1,1
153,6,10.1.1.9,3428079016,3.416288,0,100,0,0,0,0,0,0,0,100,16,16,0,1531,-1.0,-1.0,0.0,0.0,0,0,0,1,9,0,1,9
158,6,10.1.1.4,3743576265,3.465779,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,101885.702,0.0,58686164.09,0,0,0,1,4,0,1,4
159,6,10.1.1.2,2550164764,3.467203,0,100,0,0,0,0,0,0,100,0,15,16,0,506,0.0,146041.027,0.0,74025275.76,0,0,0,1,2,0,1,2
173,6,10.1.1.2,2550164764,3.780071,0,100,0,0,0,0,0,0,100,0,16,16,0,506,0.0,81823.676,0.0,41422417.69,0,0,0,1,2,0,1,2
174,6,10.1.1.4,3743576265,3.7887,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,79276.346,0.0,45663175.45,0,0,0,1,4,0,1,4
180,6,10.1.1.2,2550164764,3.919291,0,100,0,0,0,0,0,0,100,0,16,16,0,504,0.0,183881.627,0.0,92852866.43,0,0,0,1,2,0,1,2
191,6,10.1.1.4,3743576265,4.109471,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,79807.719,0.0,45969245.88,0,0,0,1,4,0,1,4
192,6,10.1.1.2,2550164764,4.114544,0,100,0,0,0,0,0,0,100,0,16,16,0,508,0.0,131112.012,0.0,66625880.13,0,0,0,1,2,0,1,2
199,6,10.1.1.8,3884774358,4.232514,0,100,0,0,0,0,0,0,96,4,16,16,0,586,0.0,25419.471,0.0,14918178.91,0,0,0,1,8,0,1,8
201,6,10.1.1.2,2550164764,4.251087,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,187486.677,0.0,95993178.64,0,0,0,1,2,0,1,2
209,6,10.1.1.4,3743576265,4.377195,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,95620.85,0.0,55077609.6,0,0,0,1,4,0,1,4
212,6,10.1.1.2,2550164764,4.406473,0,100,0,0,0,0,0,0,100,0,16,15,0,509,0.0,164751.038,0.0,83930768.72,0,0,0,1,2,0,1,2
214,6,10.1.1.7,1673646831,4.424271,0,100,0,0,0,0,0,0,100,0,16,16,0,263,0.0,15431.141,0.0,4059007.254,0,0,0,1,7,0,1,7
222,6,10.1.1.2,2550164764,4.600683,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,131816.04,0.0,67489812.36,0,0,0,1,2,0,1,2
230,6,10.1.1.4,3743576265,4.711693,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,76532.611,0.0,44082784.19,0,0,0,1,4,0,1,4
239,6,10.1.1.2,2550164764,4.813464,0,100,0,0,0,0,0,1,99,0,15,16,0,503,0.0,120311.521,0.0,60521507.45,0,0,0,1,2,0,1,2
246,6,10.1.1.3,159023198,4.922121,0,100,0,0,0,0,0,0,0,100,16,16,0,1516,0.0,15147.14,0.0,22975181.9,0,0,0,1,3,0,1,9
249,6,10.1.1.2,2550164764,4.948603,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,189434.598,0.0,96990514.33,0,0,0,1,2,0,1,2
250,6,10.1.1.6,2126477730,4.974014,0,100,0,0,0,0,0,0,100,0,16,16,0,410,0.0,13486.759,0.0,5541439.434,0,0,0,1,6,0,1,6
251,6,10.1.1.4,3743576265,4.98655,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,93139.327,0.0,53648252.1,0,0,0,1,4,0,1,4
255,6,10.1.1.1,595229600,5.049128,0,100,0,0,0,0,0,3,4,93,16,16,0,1437,0.0,15065.159,0.0,21655262.86,0,0,0,1,1,0,1,1
260,6,10.1.1.2,2550164764,5.102542,0,100,0,0,0,0,0,0,100,0,16,15,0,510,0.0,166299.629,0.0,84932546.4,0,0,0,1,2,0,1,2
266,6,10.1.1.4,3743576265,5.268452,0,100,0,0,0,0,0,0,100,0,16,15,0,576,0.0,90811.753,0.0,52307569.86,0,0,0,1,4,0,1,4
267,6,10.1.1.2,2550164764,5.326702,0,100,0,0,0,0,0,1,99,0,16,15,0,499,0.0,114204.041,0.0,57083747.78,0,0,0,1,2,0,1,2
274,6,10.1.1.8,3884774358,5.417348,0,100,0,0,0,0,0,0,95,5,15,16,0,588,0.0,21606.402,0.0,12708021.51,0,0,0,1,8,0,1,8
283,6,10.1.1.2,2550164764,5.539867,0,100,0,0,0,0,0,0,100,0,16,15,0,504,0.0,120094.871,0.0,60643106.24,0,0,0,1,2,0,1,2
287,6,10.1.1.4,3743576265,5.612718,0,100,0,0,0,0,0,1,99,0,16,16,0,570,0.0,74361.066,0.0,42451245.6,0,0,0,1,4,0,1,4
